Name,Date_of_birth,Height_cm,Position,Market_value,Better_foot,Team
Mohammed Al-Owais,"Oct 10, 1991 (30)","1,85m",Goalkeeper,€900k,left,Saudi-arabia
Abdulelah Al-Amri,"Jan 15, 1997 (25)","1,83m",Centre-Back,€1.00m,right,Saudi-arabia
Abdullah Madu,"Jul 15, 1993 (28)","1,86m",Centre-Back,€900k,left,Saudi-arabia
Hassan Tambakti,"Feb 9, 1999 (23)","1,82m",Centre-Back,€600k,right,Saudi-arabia
Ali Al-Boleahi,"Nov 21, 1989 (32)","1,78m",Centre-Back,€400k,left,Saudi-arabia
Saud Abdulhamid,"Jul 18, 1999 (22)","1,78m",Right-Back,€1.20m,right,Saudi-arabia
Ali Al-Hassan,"Mar 4, 1997 (25)","1,76m",Defensive Midfield,€300k,right,Saudi-arabia
Abdulelah Al-Malki,"Oct 11, 1994 (27)","1,70m",Central Midfield,€1.50m,right,Saudi-arabia
Nawaf Al-Abed,"Jan 26, 1990 (32)","1,70m",Attacking Midfield,€350k,left,Saudi-arabia
Salem Al-Dawsari,"Aug 19, 1991 (30)","1,71m",Left Winger,€2.80m,right,Saudi-arabia
Hattan Bahebri,"Jul 16, 1992 (29)","1,70m",Right Winger,€900k,right,Saudi-arabia
Firas Al-Buraikan,"May 14, 2000 (22)","1,81m",Centre-Forward,€1.20m,left,Saudi-arabia
Saleh Al-Shehri,"Nov 1, 1993 (28)","1,84m",Centre-Forward,€1.00m,right,Saudi-arabia
Sergio Busquets,"Jul 16, 1988 (33)","1,89m",Defensive Midfield,€9.00m,right,Spain
